X: 183, Y: 86
X: 177, Y: 115
X: 193, Y: 135
X: 186, Y: 92
X: 49, Y: 21
X: 162, Y: 27
X: 90, Y: 59
X: 163, Y: 126
X: 140, Y: 26
X: 172, Y: 136
X: 11, Y: 168
X: 167, Y: 29
X: 182, Y: 130
X: 62, Y: 123
X: 67, Y: 135
X: 129, Y: 2
X: 22, Y: 58
X: 69, Y: 167
X: 193, Y: 56
X: 11, Y: 42
X: 29, Y: 173
X: 21, Y: 119
X: 184, Y: 137
X: 198, Y: 124
X: 115, Y: 170
X: 13, Y: 126
X: 91, Y: 180
X: 156, Y: 73
X: 62, Y: 170
X: 196, Y: 81
X: 105, Y: 125
X: 84, Y: 127
X: 136, Y: 105
X: 46, Y: 129
X: 113, Y: 57
X: 124, Y: 95
X: 182, Y: 145
X: 14, Y: 167
X: 34, Y: 164
X: 43, Y: 150
X: 87, Y: 8
X: 76, Y: 178
X: 188, Y: 184
X: 3, Y: 51
X: 154, Y: 199
X: 132, Y: 60
X: 76, Y: 168
X: 139, Y: 12
X: 26, Y: 186
X: 94, Y: 139
--------------------------------------
X: 193, Y: 135
X: 172, Y: 136
X: 11, Y: 168
X: 69, Y: 167
